Part,Unit,Question,KL,CO,PO,PSO,Exam,QNo,Note
A,I,How to declare and initialize variable?,K2,CO1,"PO1,PO2",PSO1,November 2023,11,
A,I,List out the rules to declare a variable in python.,K1,CO1,PO1,PSO1,November 2024,1,
A,I,What is Comment?,K1,CO1,PO1,PSO1,April 2025,2,
A,I,What is comment? Give an example.,K2,CO1,"PO1,PO6",PSO1,November 2023,2,
A,I,What is constants?,K1,CO1,PO1,PSO1,November 2025,1,
A,I,What is expression? Give an example.,K2,CO1,"PO1,PO3",PSO1,November 2025,2,
A,I,What is Identifier?,K1,CO1,PO1,PSO1,April 2025,1,
A,I,What is indentation?,K1,CO1,PO1,PSO1,April 2024,2,
A,I,What is keyword?,K1,CO1,PO1,PSO1,April 2024,3,
A,I,What is literal?,K1,CO1,PO1,PSO1,November 2023,1,
A,I,What is type conversion?,K1,CO1,PO1,PSO1,November 2025,11,
A,I,Write any four features of python.,K1,CO1,"PO1,PO6",PSO1,April 2024,1,
A,I,Write down the Input statement in python.,K2,CO1,"PO1,PO2",PSO1,November 2024,2,
B,I,Describe about features of python.,K2,CO1,"PO1,PO6",PSO1,November 2023,13,
B,I,Explain the various operators in Python Programming.,K2,CO1,"PO1,PO3",PSO1,April 2025,13,
B,I,List out Operators in python.,K2,CO1,"PO1,PO3",PSO1,November 2024,14,
B,I,What are built-in data types used in python? Explain in detail.,K2,CO1,"PO1,PO3",PSO1,November 2025,13,
B,I,What are the built-in data types in python ? Explain.,K2,CO1,"PO1,PO3",PSO1,April 2024,14,
C,I,Explain the Data type in python with your own example.,K3,CO1,"PO1,PO2,PO3",PSO1,November 2024,20,
C,I,Explain the different types of operators used in python.,K2,CO1,"PO1,PO3",PSO1,April 2024,20,
C,I,Explain various types of operators.,K2,CO1,"PO1,PO3",PSO1,November 2023,20,
C,I,Explain various types of operators. Give an example of it.,K3,CO1,"PO1,PO2,PO3",PSO1,November 2025,20,
A,II,Define break and continue statements.,K1,CO2,PO1,PSO1,November 2025,12,
A,II,Define elif statement.,K1,CO2,PO1,PSO1,November 2023,4,
A,II,Difference between while and do-while loop.,K2,CO2,"PO1,PO3",PSO1,November 2025,4,Python has no do-while loop; answer by contrasting while with the do-while idiom (while True: ... if not cond: break).
A,II,Different between for and while loops.,K2,CO2,"PO1,PO3",PSO1,November 2023,3,
A,II,Differentiate between break and continue statement.,K2,CO2,"PO1,PO3",PSO1,April 2024,5,
A,II,List out the uses of Break statement.,K2,CO2,"PO1,PO3",PSO1,November 2024,3,
A,II,What do you mean by conditional statements?,K1,CO2,PO1,PSO1,November 2025,3,
A,II,What is indefinite loop?,K1,CO2,PO1,PSO1,April 2024,4,
A,II,What is iterative statement?,K1,CO2,PO1,PSO1,November 2023,12,
A,II,What is nested loop?,K1,CO2,PO1,PSO1,April 2024,6,
A,II,Write a Syntax of Continue Statement.,K1,CO2,PO1,PSO1,April 2025,4,
A,II,Write down the syntax for loop statement.,K1,CO2,PO1,PSO1,November 2024,4,
B,II,Different between while and do while loop.,K2,CO2,"PO1,PO3",PSO1,November 2023,14,Python has no do-while loop; answer by contrasting while with the do-while idiom (while True: ... if not cond: break).
B,II,Explain about Jump Statement in Python.,K2,CO2,"PO1,PO3",PSO1,April 2025,14,
B,II,Explain about selection control statement with example program.,K3,CO2,"PO2,PO3,PO5",PSO1,April 2024,15,
B,II,Explain selection statements used in python with suitable example.,K3,CO2,"PO2,PO3,PO5",PSO1,November 2025,14,
B,II,Explain the While statement with sample code.,K3,CO2,"PO2,PO3,PO5",PSO1,November 2024,15,
B,II,How the Nested If works?,K2,CO2,"PO1,PO3",PSO1,November 2024,16,
B,II,Write for loop & while loop Syntaxes with examples.,K3,CO2,"PO2,PO3,PO5",PSO1,April 2025,15,
C,II,Explain in detail if else and nested if statement with example,K3,CO2,"PO2,PO3,PO5",PSO1,November 2023,21,
C,II,Explain iterative statements with example.,K3,CO2,"PO2,PO3,PO5",PSO1,November 2025,21,
C,II,Explain various iterative statements in python with examples.,K3,CO2,"PO2,PO3,PO5",PSO1,April 2024,21,
C,II,List out IF statement and its types.,K2,CO2,"PO1,PO3",PSO1,November 2024,21,
A,III,Define recursion.,K1,CO3,PO1,PSO1,April 2024,7,
A,III,Define variable scope and lifetime?,K2,CO3,"PO1,PO3",PSO1,November 2025,5,
A,III,What is meant by local scope of a variable?,K1,CO3,"PO1,PO3",PSO1,April 2024,8,
A,III,What is meant by recursion?,K1,CO3,PO1,PSO1,November 2024,5,
A,III,What is module?,K1,CO3,PO1,PSO1,November 2025,6,
A,III,What is Namespace?,K2,CO3,"PO1,PO3",PSO1,November 2024,12,
A,III,What is Recursion?,K1,CO3,PO1,PSO1,April 2025,6,
A,III,What is recursion?,K1,CO3,PO1,PSO1,November 2023,6,
B,III,Explain in detail function definition and function call,K2,CO3,"PO1,PO3,PO5","PSO1,PSO2",November 2023,15,
B,III,Write a python program to calculate a factorial value for given number.,K3,CO3,"PO2,PO3,PO5",PSO1,April 2024,16,
B,III,Write about modules with examples.,K3,CO3,"PO2,PO3,PO4,PO5","PSO1,PSO2",April 2025,18,
B,III,Write short note on function and function call.,K2,CO3,"PO1,PO3,PO5","PSO1,PSO2",November 2025,15,
C,III,Create your own module in python.,K3,CO3,"PO2,PO3,PO4,PO5","PSO1,PSO2",November 2024,22,
C,III,Discuss about various type function arguments with proper example.,K3,CO3,"PO2,PO3,PO5","PSO1,PSO2",November 2023,22,
C,III,Discuss about various type function arguments with proper example.,K3,CO3,"PO2,PO3,PO5","PSO1,PSO2",November 2025,22,
C,III,Discuss the following (i) Functions (ii) Modules.,K3,CO3,"PO2,PO3,PO4,PO5","PSO1,PSO2",April 2025,22,
C,III,What are the different types of arguments passed to the function? Explain with example.,K3,CO3,"PO2,PO3,PO5","PSO1,PSO2",April 2024,22,
C,III,Write a Python Program to print factorial of 1 to n Numbers.,K3,CO3,"PO2,PO3,PO5",PSO1,April 2025,21,
A,IV,Define list.,K1,CO4,PO1,PSO1,November 2024,7,
A,IV,How do you add values to a list in python?,K2,CO4,"PO2,PO3",PSO1,November 2025,7,
A,IV,How to declare list in python?,K2,CO4,"PO1,PO2",PSO1,November 2023,7,
A,IV,What is immutable string?,K1,CO4,PO1,PSO1,November 2023,5,
A,IV,What is List?,K1,CO4,PO1,PSO1,April 2025,8,
A,IV,What is String function?,K1,CO4,PO1,PSO1,April 2025,5,
A,IV,Write a string compare function in python.,K3,CO4,"PO2,PO3,PO5",PSO1,November 2024,6,
A,IV,Write down the purpose of append function.,K2,CO4,"PO1,PO2",PSO1,November 2024,10,
B,IV,Describe about python string operations.,K2,CO4,"PO1,PO3,PO6",PSO1,November 2023,16,
B,IV,Explain about built-in string methods with examples.,K3,CO4,"PO2,PO3,PO5",PSO1,April 2024,17,
B,IV,Explain few string operations. Give an example of it.,K3,CO4,"PO2,PO3,PO5",PSO1,November 2025,18,
B,IV,Explain the append() method of a list with an example.,K3,CO4,"PO2,PO3,PO6",PSO1,April 2025,19,"Reframed from ""Explain the following (i) append() (ii) writelines()""; part (ii) is file handling, which is out of syllabus."
B,IV,Explain the String methods and functions.,K2,CO4,"PO1,PO3,PO6",PSO1,April 2025,16,
